id,hierarchy_level,ccta95_code,name,name_en,description,is_marked
"030000","major","030000","治療訓練用具","Aids for therapy and training","訓練および治療だけのための用具と性行為補助具を含む．","0"
"030300","middle","030300","呼吸器治療用具","Aids for respiratory therapy","バイブレータは032712を参照．環境改善機器は2703を参照．","0"
"030303","minor","030303","吸入加温器","Inhaled air preheaters","吸入する気体を温める装置.","0"
"030306","minor","030306","吸入器","Inhalers","人工呼吸や呼吸器系疾患に対して肺の加湿，吸入療法を行う装置．噴霧器・自動的吸入器・陽圧レスピレータ・超音波式ネブライザ・フィルタ・一定量噴霧器（エアゾール）付きネブライザ噴霧器は，必要量だけ噴霧する装置．超音波式ネブライザは，超音波により振動板を振動させ，水溶液を霧状にし，肺胞まで到達させる装置．","0"
"030312","minor","030312","レスピレータ","Respirators","広義の人工呼吸器のことで，体表面に用いるものと，気道に陽圧をかけるものに大別される．ベンチレータ（換気装置）を含む.気管内挿管をし気道内に一定の圧力を加える従圧式と，気道内に一定の容積の気体を送り込む従量式がある．呼気相と吸気相の時間，気道内圧，換気量など調節可能である．","0"
"030318","minor","030318","酸素ユニット","Oxygen units","酸素流量計，吸入器，減圧弁，ボンベ台，運搬車からなる．酸素濃縮装置を含む．酸素濃縮装置は，室内の空気から高濃度あるいは一定濃度の酸素を流量によらず生成する装置．","0"
"030321","minor","030321","吸引器","Aspirators","吸引器は，出血した血液，滲出液，膿汁，その他の分泌液，洗浄液などを吸引する装置で，気道の確保に必要である．","0"
"030324","minor","030324","呼吸器治療用ベンチとクッション","Benches and cushions for respiratory therapy","背中や胸を叩いて痰、咳を出させるために患者を寝かせるためのベンチやクッション．","0"
"030327","minor","030327","呼吸筋訓練器具","Respiration muscle trainers","弁の調整により吸気に負荷を与え，在宅酸素療法，抜管後，筋ジス患者などの呼吸筋の訓練のために使用する．呼気・吸気抵抗マスクを含む．","0"
"030330","minor","030330","呼吸機能計測器","Respiration meters","呼吸機能の検査は，気相部分，ガス交換及び液相部分に分けられる．気相部分に換気機能が含まれ，これに関する検査として，肺気量分画測定，換気力学的検査などが含まれる．これらのほとんどはスパイロメータで測定可能である．スパイロメータを含む．","0"
"030600","middle","030600","循環器治療用具","Aids for circulation therapy","血圧計は032409を参照．心臓刺激装置は032703を参照．自転車エルゴメータは034803を参照．特殊椅子は180921を参照．ギャッチベッドは181206，181209を参照．","0"
"030603","minor","030603","圧縮空気で満たされたスーツおよびストッキング","Suits and stockings filled with compressed air","上肢・下肢およびその他の部位の圧迫衣服を含む．","0"
"030606","minor","030606","上肢・下肢用浮腫防止ストッキング","Anti-oedema stockings for arms and legs","四肢の浮腫などの補助治療に用いる伸縮性ストッキング．","0"
"030612","minor","030612","圧迫ユニット","Compression units","空気室に加圧，除圧をくりかえすことにより，筋の収縮弛緩の場合と同じような作用をして，リンパ液と静脈血の環流を促進させる装置．","0"
"030900","middle","030900","光線療法用具","Aids for light therapy","紫外線は皮膚病や表在性悪性腫瘍などの治療として，赤外線は温熱療法として，レーザ光線は悪性腫瘍の治療として，低出力レーザはハリの代用として用いられ，これらを総称した光線療法に用いる器具．温熱療法用具は033003を参照．","0"
